SerialNo,Tree.ID,Genet.Compound,Genet.2014,Geno.Hilary,Genet.SSR,Latitude,Longitude,Block,Row,Position,RowA,PosA,Dist.Edge,SNPFlag.01,SeqFlag.01,SSRFlag.01,SexMkrFlag.01,Ploidy,Hybrid.01,,PlantingDate,PlantingYear,Age.2016,Vol.2012,Vol.2015,Vol.2016,Vol.2017,Vol.2018,GrowLn.1516,GrowLn.1617,GrowLn.1718,GrowLn.1518,ExclusionFlag,ExclusionFlagCode,Comments.2015,Comments.2016,Comments.2017,Comments.2018,BknLdr.2015,BknLdr.2017,BBreakDegDay.2014,BBreakDegDay.2015,BBreakDegDay.2016,BBreakDegDay.2017,Sex.2017,Sex.2018,Sex.Genet,Sex.TOZ19,SexTOZ19.01,TOZcheck.Ramet,FlTwigs.2017,FlTwigs.2018,ALA.J2016,ALA.A2016,ALA.J2017,ALA.A2017,SLA.2014,SLA.2015,SLA.J2016,SLA.A2016,SLA.J2017,SLA.A2017,CT.2014,CT.2015,CT.J2016,CT.A2016,CT.J2017,CT.A2017,PGsum.2014,PGsum.2015,PGsum.J2016,PGsum.A2016,PGsum.J2017.JenaEQ,PGsum.A2017,Scort.2014,Scort.2015,Tcin.2014,Tcin.2015,Scin.J2016,Scort.J2016,Tcin.J2016,Tdin.J2016,Scin.A2016,Scort.A2016,Tcin.A2016,Tdin.A2016,Scin.J2017.JenaEQ,Scort.J2017.JenaEQ,Tcin.J2017.JenaEQ,Tdin.J2017.JenaEQ,Scin.A2017,Scort.A2017,Tcin.A2017,Tdin.A2017,SA.J2017,JA.J2017,JAIle.J2017,ABA.J2017,BAgluc.J2017,Cpct.J2016,Cpct.A2016,Cpct.J2017,Cpct.A2017,Npct.2014,Npct.2015,Npct.J2016,Npct.A2016,Npct.J2017,Npct.A2017,CN.2014,CN.2015,CN.J2016,CN.A2016,CN.J2017,CN.A2017,EFNMean.2014,EFNMean.2016,EFNMean.2017,Venturia.2017,LeafAreaSum.2016,LeafAreaSum.2017,DiseaseEdgePct.2016,DiseaseEdgePct.2017,ScrapHolePct.2016,ScrapHolePct.2017,DamagePct.2016,DamagePct.2017,INSECTS - multiple columns or separate file
501,2_D_25,111,111,111,146,45.29227678,-89.56484119,2,D,25,D,25,4,1,0,1,1,2,0,0,9/9/2010,2010,6,0.3,11.4,34.4,64.9,109.5,1.10,0.64,0.52,2.26,,,,,,,,,177.5,311.0,219.8,228.2,,,M,,0,,0,0,13.15,12.65,14.23,13.41,90.11,164.35,144.77,142.08,172.98,182.94,13.54,12.08,11.49,5.7,10.03,7.12,13.83,13.06,7.19,6.19,6.71,5.56,8.17,8.29,5.66,4.77,0.17,3.90,3.06,0.07,0.42,3.26,2.36,0.15,0.42,4.78,1.46,0.05,0.26,3.22,1.96,0.12,274.77,740.81,204.56,64.12,77312.45,,47.24,,,2.31,2.54,,2.39,,,22.01,19.14,,18.97,,,0.00,0.08,0.08,2,152.53,175.12,4.79,1.63,0.97,1.15,5.77,2.79,
992,3_H_12,111,111,111,,45.29227678,-89.56484119,3,H,12,H,12,7,0,0,0,0,2,0,0,9/9/2010,2010,6,0.3,12.5,30.8,67.0,116.4,0.90,0.78,0.55,2.23,,,,,,,,,177.5,327.4,229.5,252.7,,M,M,,NA,,0,1,14.59,10.30,14.54,16.56,131.42,129.28,124.50,126.42,150.48,143.16,11.29,13.25,12.23,9.71,10.51,9.14,10.78,10.28,5.68,5.73,7.37,3.92,6.02,6.59,4.76,3.69,0.23,2.96,2.42,0.06,0.36,2.80,2.43,0.14,0.61,5.10,1.61,0.04,0.19,2.29,1.36,0.08,310.58,1499.17,571.78,39.08,92015.64,,46.73,,,2.35,2.36,,2.22,,,21.42,20.59,,20.85,,,0.00,0.33,0.00,2,124.47,199.14,2.88,2.42,1.21,1.19,4.09,3.61,
343,1_M_7,112,112,112,547,45.2964591,-89.56484119,1,M,7,M,7,2,1,0,1,1,2,0,0,7/1/2012,2012,4,0.0,0.7,NA,1.5,17.8,NA,NA,2.46,3.18,2,,dead above gall at base of tree,"Leader diseased & dead in 2016, was alive 2015; measured 2016 stem accurate; lower branches alive, much hit by stem galls",BL old ~ 40 cm,,,x,209.0,340.8,NA,235.1,,,,,1,,0,0,14.29,11.09,12.42,13.27,114.94,121.74,109.61,96.47,132.11,119.01,19.03,7.68,11.99,15.3,8.53,7.01,12.32,10.36,11.39,5.94,9.87,7.80,6.66,5.73,5.66,4.63,0.16,5.53,5.60,0.10,0.36,2.62,2.84,0.12,0.46,6.51,2.85,0.05,0.30,3.95,3.40,0.15,1606.45,619.63,69.13,68.89,62121.69,,50.91,,,1.69,1.97,,1.98,,,29.05,24.79,,26.14,,,NA,0.17,0.00,1,138.57,160.74,10.96,5.02,4.29,2.45,15.25,7.47,
720,2_L_20,112,112,112,547,45.2964591,-89.56484119,2,L,20,L,20,3,0,0,1,0,2,0,0,7/1/2012,2012,4,0.0,0.4,3.0,12.0,29.9,1.97,1.40,0.92,4.29,,,,,,,,,230.7,350.0,229.5,252.7,,,,,1,,0,0,10.57,10.35,15.36,13.65,116.28,113.18,118.66,110.36,135.39,128.96,11.65,18.05,10.64,12.51,6.52,8.24,11.72,12.76,9.22,6.19,10.47,8.27,6.58,6.94,5.14,5.82,0.18,4.51,4.45,0.07,0.30,2.66,3.14,0.10,0.78,6.42,3.20,0.07,0.23,4.05,3.85,0.14,703.19,739.48,246.16,43.00,39923.22,,50.85,,,2.06,1.88,,1.83,,,24.97,26.49,,27.65,,,0.17,0.17,0.00,1,125.69,221.10,7.33,2.53,1.75,2.22,9.09,4.75,
1142,3_M_22,112,112,112,547,45.2964591,-89.56484119,3,M,22,M,22,2,0,0,1,0,2,0,0,7/1/2012,2012,4,0.0,0.3,4.8,14.5,37.6,2.61,1.11,0.95,4.68,,,,,,,,,221.5,327.4,229.5,235.1,,,,,1,,0,0,10.05,11.79,13.65,14.72,116.22,129.81,130.03,115.98,151.29,147.20,13.93,11.70,7.5,8,5.31,3.55,14.45,12.95,11.52,6.87,8.67,6.18,7.93,7.61,6.52,5.34,0.22,5.84,5.38,0.09,0.29,3.16,3.31,0.11,0.44,5.90,2.28,0.05,0.22,3.49,2.37,0.10,996.71,964.25,338.25,53.45,65900.83,,49.45,,,1.68,1.86,,1.97,,,29.12,26.55,,24.88,,,0.17,0.00,0.17,1,143.17,177.94,3.11,2.36,1.58,1.79,4.69,4.14,
1181,4_A_5,112,112,112,547,45.2964591,-89.56484119,4,A,5,A,5,1,0,0,1,0,2,0,0,7/1/2012,2012,4,0.0,0.6,5.3,18.0,51.1,2.16,1.22,1.04,4.42,,,,,,,,,221.5,327.4,212.8,235.1,,,,,1,,0,0,13.79,13.27,13.90,11.09,110.81,119.44,118.28,110.69,133.70,136.55,18.82,16.16,9.83,10.99,6.98,5.29,12.67,8.59,7.19,7.02,9.69,7.20,7.16,5.47,5.51,3.12,0.12,3.56,3.48,0.04,0.25,3.26,3.41,0.10,0.54,6.25,2.84,0.06,0.24,3.87,2.99,0.10,997.66,919.43,243.44,47.76,101621.50,,48.93,,,1.75,2.17,,1.80,,,28.54,22.96,,27.15,,,0.17,0.00,0.00,1,160.10,135.24,3.68,4.70,0.93,5.52,4.60,10.22,
2028,1_EB_27,112,112,112,409,45.2964591,-89.56484119,1,EB,27,EB,27,0,0,0,1,0,2,0,0,7/1/2011,2011,5,0.0,NA,0.1,0.6,2.4,NA,1.86,1.40,NA,,,,,,NA growth because 2015 was too small for DBH,,,221.5,350.0,241.8,252.7,,,,,1,,0,0,7.86,8.35,12.03,10.21,114.98,114.40,109.42,110.78,127.16,123.43,20.11,14.14,10.7,8.91,13.81,8.63,2.94,2.72,2.20,2.28,3.36,1.63,1.61,1.75,1.33,0.97,0.10,1.19,0.88,0.04,0.19,1.09,0.93,0.07,0.33,2.24,0.76,0.03,0.11,0.89,0.58,0.05,1592.72,719.98,89.28,22.72,139799.05,,48.16,,,1.77,1.93,,2.11,,,27.20,24.79,,23.03,,,NA,0.00,0.17,NA,101.32,188.76,5.34,2.60,1.84,5.72,7.18,8.31,
267,1_J_15,114,114,114,,45.240697,-89.56484119,1,J,15,J,15,5,0,0,0,0,2,0,0,9/9/2010,2010,6,0.4,10.3,26.7,59.6,106.8,0.96,0.80,0.58,2.34,,,,grey fungus on branches,grey fungus persists,,,,177.5,299.5,182.9,218.1,M,M,M,,NA,,17,38,11.97,9.24,13.64,15.15,136.16,139.04,146.82,144.02,174.41,165.94,12.59,5.63,8.8,6.72,5.04,5.37,7.39,14.21,3.76,3.33,4.57,2.56,4.47,8.47,2.92,5.74,0.15,2.15,1.42,0.04,0.18,1.85,1.26,0.03,0.36,3.36,0.82,0.03,0.17,1.56,0.77,0.06,802.88,2281.86,1135.46,59.56,38794.09,,46.78,,,2.31,2.31,,2.35,,,22.18,21.64,,19.94,,,0.00,0.08,0.08,1,111.86,182.50,13.62,2.35,1.04,1.75,14.65,4.11,
766,2_N_10,114,114,114,420,45.240697,-89.56484119,2,N,10,N,10,1,1,0,1,1,2,0,0,9/9/2010,2010,6,0.1,2.7,11.1,24.8,56.7,1.41,0.81,0.83,3.04,,,,,,,,,177.5,267.7,157.5,222.9,,,M,,1,,0,0,11.48,11.84,12.77,12.76,138.43,148.56,131.78,118.63,157.57,146.62,8.70,12.43,9.2,9.3,5.16,4.05,8.58,8.46,3.84,4.43,4.20,3.18,5.25,5.54,3.33,2.92,0.16,2.14,1.51,0.04,0.27,1.83,2.24,0.09,0.56,2.87,0.74,0.04,0.20,1.84,1.06,0.08,601.94,795.69,430.22,35.38,13099.03,,49.81,,,2.12,2.59,,2.35,,,23.95,18.62,,21.46,,,0.08,0.25,0.00,1,142.99,206.59,2.74,2.29,2.03,2.46,4.77,4.74,
881,3_D_13,114,114,114,,45.240697,-89.56484119,3,D,13,D,13,4,0,0,0,0,2,0,0,9/9/2010,2010,6,0.0,1.6,7.8,19.1,44.6,1.58,0.90,0.85,3.33,,,,,,,,,194.2,311.0,197.4,228.2,,M,M,,NA,,0,5,11.83,9.49,12.14,11.74,141.75,138.25,142.21,120.62,141.45,141.12,14.76,9.82,7.62,10.98,8.89,NA,5.62,5.22,3.40,5.02,3.37,0.00,3.73,3.88,1.89,1.34,0.15,2.02,1.19,0.03,0.25,2.27,2.43,0.08,0.37,2.46,0.51,0.03,NA,NA,NA,NA,575.96,1122.41,595.12,45.22,20662.58,,49.75,,,2.06,2.29,,1.95,,,24.96,22.03,,26.01,,,0.17,0.17,0.08,1,118.34,236.48,9.47,4.77,4.74,3.96,14.20,8.73,
1187,4_A_11,114,114,114,,45.240697,-89.56484119,4,A,11,A,11,1,0,0,0,0,2,0,0,9/9/2010,2010,6,0.0,3.8,14.7,31.0,76.5,1.36,0.74,0.90,3.01,,,,,,,,,177.5,293.4,187.9,228.2,,M,M,,NA,,0,17,15.36,12.02,11.04,10.95,132.03,142.07,140.46,134.90,161.79,158.85,11.93,9.13,9.64,6.91,5.39,4.29,7.06,5.59,5.76,3.48,5.67,4.31,4.45,3.88,2.61,1.71,0.23,3.21,2.24,0.08,0.27,1.98,1.14,0.09,0.64,3.75,1.23,0.05,0.19,2.33,1.70,0.09,633.85,3429.86,1115.46,114.96,26460.37,,48.57,,,2.18,2.21,,2.30,,,23.32,22.52,,20.93,,,0.17,0.00,0.08,2,145.45,221.05,7.89,3.77,1.63,3.44,9.52,7.21,
1247,4_C_15,114,114,114,,45.240697,-89.56484119,4,C,15,C,15,3,0,0,0,0,2,0,0,6/2/2011,2011,5,0.2,4.8,26.3,70.2,114.1,1.69,0.98,0.49,3.16,,,bifurcated,,,,,,194.2,293.4,207.5,228.2,M,M,M,,NA,,2,1,13.36,11.25,15.49,12.77,153.06,129.76,159.95,155.69,162.06,175.11,NA,13.66,6.45,5.71,4.86,2.52,NA,10.98,3.74,3.36,4.64,2.94,NA,6.89,NA,4.09,0.01,0.22,0.12,0.00,0.19,1.84,1.36,0.06,0.31,3.44,0.86,0.03,0.20,1.75,0.92,0.07,424.73,1697.88,1171.53,50.30,14712.45,,48.31,,,NA,2.43,,2.20,,,NA,20.56,,21.90,,,0.15,0.08,0.00,1,136.51,257.15,4.20,7.79,1.48,3.63,5.68,11.42,
2017,1_EB_16,114,114,114,,45.240697,-89.56484119,1,EB,16,EB,16,0,0,0,0,0,2,0,0,7/1/2011,2011,5,0.4,5.2,17.0,33.6,69.9,1.19,0.68,0.73,2.60,,,,,,,,,177.5,267.7,182.9,222.9,M,M,M,,NA,,8,1,13.01,12.51,13.07,13.36,114.53,124.94,121.57,109.80,146.84,136.74,15.43,10.14,9.18,11.46,11.09,5.47,7.00,6.58,4.82,6.23,4.17,2.38,3.83,3.94,3.17,2.64,0.13,2.46,2.19,0.05,0.33,2.61,3.17,0.12,0.34,3.13,0.67,0.03,0.17,1.43,0.73,0.05,621.33,1626.18,574.54,33.08,22508.99,,49.49,,,1.78,2.20,,1.96,,,27.93,22.53,,25.73,,,NA,0.17,0.08,NA,150.59,258.20,3.88,2.78,0.92,3.14,4.80,5.91,
186,1_G_18,115,115,115,541,45.24102688,-89.56484119,1,G,18,G,18,7,0,0,1,0,2,0,0,9/9/2010,2010,6,0.7,23.8,72.1,131.8,204.2,1.11,0.60,0.44,2.15,,,,grey fungus lower,,,,,209.0,327.4,246.3,276.2,M,M,M,,0,0,15,30,17.21,12.93,14.75,12.31,125.31,159.66,144.95,162.70,167.81,180.17,9.79,20.26,8.19,5.83,8.07,5.36,16.83,6.20,10.29,11.14,9.77,8.27,10.18,3.49,6.65,2.71,0.18,5.00,5.01,0.10,0.52,5.48,4.90,0.24,0.57,6.36,2.77,0.07,0.35,4.47,3.26,0.19,1195.93,1205.56,69.15,80.80,13180.00,,46.12,,,2.08,2.22,,2.30,,,24.26,22.81,,19.59,,,0.00,0.33,0.25,1,156.24,252.08,3.70,3.60,0.89,3.53,4.60,7.13,
745,2_M_17,115,115,115,564,45.24102688,-89.56484119,2,M,17,M,17,2,1,0,1,1,2,0,0,9/9/2010,2010,6,0.2,7.3,30.2,66.0,115.7,1.42,0.78,0.56,2.76,,,,,,,,,221.5,356.2,239.5,282.1,,M,M,,1,1,0,4,11.72,12.62,11.30,14.32,137.67,157.56,143.98,140.76,168.89,146.26,9.65,8.23,7.21,8.24,9.63,6.69,16.20,14.62,10.05,8.55,8.99,6.87,9.54,9.34,6.66,5.28,0.24,5.36,4.36,0.09,0.44,3.89,4.03,0.19,0.66,5.96,2.30,0.06,0.30,3.67,2.72,0.18,800.53,616.05,97.78,47.88,11642.72,,46.31,,,2.26,2.42,,2.31,,,22.43,20.03,,20.39,,,1.08,0.67,0.00,1,151.79,172.37,1.29,2.74,0.98,0.99,2.27,3.72,
1010,3_I_2,115,115,115,564,45.24102688,-89.56484119,3,I,2,I,2,6,0,0,1,0,2,0,0,9/9/2010,2010,6,0.7,24.3,70.4,138.7,219.7,1.06,0.68,0.46,2.20,,,,,Many leaves left at top,,,,209.0,356.2,241.8,276.2,M,M,M,,1,1,5,8,13.84,10.67,13.24,16.97,134.40,150.87,142.76,163.58,203.22,184.09,11.14,7.64,7.58,6.62,6.72,5.01,17.47,13.25,11.18,10.14,9.99,8.13,10.85,8.32,6.62,4.93,0.22,5.44,5.41,0.10,0.43,5.14,4.39,0.18,1.81,5.53,2.43,0.22,0.38,4.39,3.16,0.20,797.14,1519.20,257.96,82.31,10518.43,,46.21,,,1.89,2.39,,2.13,,,26.26,20.03,,21.47,,,1.00,0.83,0.17,1,129.10,204.13,1.64,1.40,0.93,0.77,2.57,2.18,
1372,4_G_28,115,115,115,140,45.24102688,-89.56484119,4,G,28,G,28,1,0,0,1,0,2,0,0,9/9/2010,2010,6,0.0,1.4,6.1,20.4,56.2,1.50,1.20,1.01,3.72,,,stem gall just above 10cm,,,,,,184.8,327.4,212.8,244.1,,,M,,0,,0,0,9.61,10.18,11.89,13.12,124.78,125.51,129.16,117.49,135.08,137.38,13.42,15.00,6.66,12.05,10.40,9.02,10.60,8.86,3.62,2.80,7.10,4.57,6.27,5.27,4.33,3.59,0.13,2.06,1.40,0.03,0.26,1.30,1.17,0.07,0.61,4.64,1.79,0.06,0.23,2.47,1.77,0.10,1822.98,1050.08,193.12,51.52,48997.34,,47.69,,,2.16,2.16,,2.08,,,23.57,22.90,,23.52,,,0.11,0.00,0.17,1,122.39,159.91,6.95,1.43,2.45,2.59,9.40,4.02,
271,1_J_19,116,116,116,,45.26271498,-89.56484119,1,J,19,J,19,5,0,0,0,0,2,0,0,9/9/2010,2010,6,0.1,3.5,12.4,28.5,44.8,1.26,0.84,0.45,2.55,,,,,,,x,,177.5,356.2,219.8,235.1,,,M,,NA,,0,0,12.55,11.67,15.12,19.99,110.81,126.35,174.11,131.17,185.16,171.02,21.29,11.90,11.13,8.39,7.97,8.81,14.09,3.75,7.41,7.92,9.93,7.59,6.79,2.39,7.30,1.36,0.23,3.85,3.25,0.07,0.45,3.93,3.39,0.15,0.74,6.48,2.65,0.06,0.33,4.24,2.88,0.14,1519.39,1350.18,332.18,50.99,71664.11,,47.65,,,1.75,2.45,,1.89,,,28.71,19.95,,25.43,,,1.08,0.75,0.50,1,141.55,220.72,3.95,1.34,1.49,1.51,5.44,2.85,
684,2_K_12,116,116,116,190,45.26271498,-89.56484119,2,K,12,K,12,4,1,0,1,1,2,0,0,9/9/2010,2010,6,0.3,6.2,18.6,38.0,72.7,1.10,0.72,0.65,2.47,,,,,,,,,177.5,327.4,207.5,235.1,,,M,,1,,0,0,13.31,12.70,17.59,18.53,131.14,144.56,148.38,141.40,165.64,178.27,19.76,17.83,12.94,11.8,12.46,7.75,10.71,10.73,6.47,5.98,9.28,7.75,5.98,6.60,4.73,4.13,0.26,3.35,2.79,0.07,0.38,3.04,2.44,0.11,0.68,6.07,2.48,0.05,0.31,4.32,2.98,0.14,1207.50,733.30,181.33,35.50,53535.53,,48.50,,,1.87,1.91,,1.72,,,27.04,26.24,,27.53,,,1.25,0.50,0.42,16,153.27,223.90,2.54,1.45,1.09,1.76,3.62,3.21,
1107,3_L_15,116,116,116,,45.26271498,-89.56484119,3,L,15,L,15,3,0,0,0,0,2,0,0,9/9/2010,2010,6,0.1,5.7,19.0,40.1,81.6,1.21,0.74,0.71,2.67,,,,,,,,,184.8,327.4,197.4,244.1,,M,M,,NA,,0,2,13.20,13.96,18.52,18.34,125.98,140.96,138.87,121.01,154.47,145.49,13.90,16.49,12,11.26,11.97,8.99,15.09,9.74,5.09,5.53,8.70,7.73,8.58,5.70,6.51,4.04,0.15,2.67,2.22,0.05,0.31,2.72,2.39,0.10,0.67,5.69,2.28,0.06,0.42,4.12,3.04,0.15,951.71,997.08,362.21,42.61,52549.00,,47.38,,,1.77,1.73,,1.73,,,27.93,27.78,,27.42,,,1.50,0.08,0.17,0,167.97,285.82,2.29,1.13,1.46,5.14,3.75,6.27,
1505,4_L_21,116,116,116,,45.26271498,-89.56484119,4,L,21,L,21,3,0,0,0,0,2,0,0,6/2/2011,2011,5,0.1,4.6,17.5,39.3,93.6,1.33,0.81,0.87,3.01,,,,,,,,,209.0,327.4,229.5,235.1,,,M,,NA,,0,0,13.33,12.36,15.43,18.52,106.40,122.98,134.32,126.88,154.41,145.48,18.54,18.79,17.73,11.5,9.25,8.18,11.26,8.07,6.32,7.78,10.42,8.31,6.30,4.96,4.96,3.11,0.17,3.27,2.83,0.06,0.33,3.37,3.95,0.13,0.88,6.54,2.93,0.07,0.28,4.52,3.36,0.15,943.26,440.28,137.60,32.14,58440.27,,48.32,,,1.92,1.74,,1.79,,,26.33,27.53,,27.41,,,1.25,0.92,0.42,1,148.98,339.34,1.48,1.84,0.94,2.90,2.42,4.74,
2236,4_WB_9,116,116,116,,45.26271498,-89.56484119,4,WB,9,WB,9,0,0,0,0,0,2,0,0,7/1/2011,2011,5,0.0,1.2,6.2,15.6,33.8,1.69,0.92,0.77,3.38,,,,,,,,,194.2,340.8,239.5,252.7,M,,M,,NA,,5,0,11.46,10.66,16.70,15.79,103.09,143.39,125.47,118.47,119.29,123.56,21.73,19.79,17.91,10.23,15.00,10.78,9.70,10.08,5.01,6.08,9.23,7.51,5.51,5.98,4.19,4.10,0.17,2.45,2.33,0.05,0.34,2.75,2.87,0.12,0.44,6.01,2.73,0.04,0.28,3.98,3.12,0.13,1180.99,338.64,76.98,33.70,65879.85,,49.35,,,1.92,1.81,,1.63,,,26.78,27.51,,29.15,,,NA,1.25,0.00,NA,128.87,191.18,2.94,0.97,1.47,1.92,4.40,2.89,
494,2_D_18,117,117,117,72,45.26245311,-89.56484119,2,D,18,D,18,4,1,0,1,1,2,0,0,9/9/2010,2010,6,0.2,5.6,37.6,73.6,123.1,1.91,0.67,0.51,3.09,,,bifurcated,two stems at base,stem 2 DBH 7.00,,,,162.7,232.6,182.9,204.7,,,,,0,,0,0,15.55,18.03,19.35,15.50,144.98,162.80,147.28,137.01,166.36,154.96,18.81,14.66,8.41,6.16,8.79,8.74,4.18,5.13,3.83,2.72,3.43,3.29,2.62,2.93,1.56,2.20,0.18,2.03,1.58,0.04,0.32,1.34,0.99,0.06,0.33,2.42,0.65,0.03,0.17,1.66,1.40,0.06,1335.38,1048.71,108.65,47.31,17573.19,,47.24,,,2.10,2.39,,2.17,,,24.16,21.01,,22.18,,,0.75,0.42,0.25,1,217.17,203.89,10.11,6.20,0.97,2.58,11.08,8.78,
1179,4_A_3,117,117,117,,45.26245311,-89.56484119,4,A,3,A,3,1,0,0,0,0,2,0,0,9/9/2010,2010,6,1.0,30.9,71.1,129.1,287.9,0.83,0.60,0.80,2.23,,,,BL at very top,"BL at 23'2.5"" (2015)",,,,151.0,246.0,182.9,213.1,,,,,NA,,0,0,18.97,17.50,18.30,15.77,140.25,142.26,134.23,132.34,155.06,150.91,13.84,12.35,10.3,7.53,8.83,7.50,4.56,4.15,3.03,2.85,4.16,2.50,2.75,2.58,1.81,1.57,0.10,1.59,1.31,0.03,0.18,1.39,1.23,0.05,0.46,2.79,0.87,0.03,0.14,1.44,0.87,0.05,613.75,1255.05,188.42,35.00,27335.26,,46.20,,,2.23,2.18,,2.00,,,22.62,22.40,,23.67,,,1.17,1.00,0.75,2,211.31,190.83,4.74,5.18,0.89,2.53,5.63,7.71,
2,1_A_2,118,118,118,217,45.26543647,-89.56484119,1,A,2,A,2,1,1,0,1,1,2,0,0,9/9/2010,2010,6,1.1,8.9,19.0,75.0,111.9,0.75,1.37,0.40,2.53,,2: DEAD,exclude - young tree?,,,,,,230.7,350.0,246.3,265.8,,,,,0,,0,0,14.21,12.49,18.15,15.65,122.75,130.68,135.52,112.28,142.75,123.11,12.47,7.53,4.27,7.44,3.20,3.22,11.08,8.72,9.84,8.80,10.95,8.19,5.93,5.30,5.15,3.42,0.27,4.49,4.96,0.12,0.45,3.25,4.81,0.29,0.39,6.67,3.81,0.08,0.35,3.82,3.74,0.28,1151.49,539.16,124.07,21.73,11748.55,,49.07,,,1.96,2.29,,2.25,,,25.61,21.76,,21.54,,,0.50,0.58,0.25,2,150.94,206.19,2.86,2.60,1.19,3.31,4.06,5.91,
650,2_J_6,118,118,118,,45.26543647,-89.56484119,2,J,6,J,6,5,0,0,0,0,2,0,0,9/9/2010,2010,6,0.6,22.0,66.1,139.7,238.6,1.10,0.75,0.54,2.39,,,,,,,,,209.0,350.0,246.3,272.5,,,,,NA,,0,0,14.25,12.23,15.65,18.28,147.28,157.97,141.81,141.31,177.69,177.94,5.60,4.17,3.27,3.13,4.92,1.35,9.56,10.04,9.69,7.97,8.20,6.64,5.71,6.05,3.85,3.99,0.21,4.67,4.74,0.06,0.39,3.41,3.97,0.20,0.39,5.48,2.27,0.06,0.30,3.51,2.62,0.21,993.30,609.28,145.00,50.18,21714.23,,46.33,,,2.41,2.65,,2.47,,,20.55,17.62,,18.24,,,0.25,0.00,1.25,0,147.47,267.41,1.15,1.38,0.61,5.02,1.76,6.40,
1127,3_M_7,118,118,118,,45.26543647,-89.56484119,3,M,7,M,7,2,0,0,0,0,2,0,0,9/9/2010,2010,6,0.3,13.9,43.9,97.8,189.4,1.15,0.80,0.66,2.62,,,,,,,,,221.5,350.0,253.3,276.2,,,,,NA,,0,0,14.28,12.62,15.41,19.01,144.07,140.08,144.11,136.66,161.79,156.26,4.10,4.83,2.52,2.44,1.84,1.75,10.39,10.01,11.70,7.23,9.24,7.76,5.95,5.87,4.44,4.14,0.21,5.36,5.98,0.15,0.35,3.14,3.54,0.20,0.70,5.71,2.74,0.09,0.33,3.99,3.18,0.26,400.71,687.56,152.23,42.33,10672.51,,46.05,,,2.29,2.48,,2.36,,,21.80,19.25,,19.28,,,0.33,0.33,0.08,1,152.83,230.25,0.74,1.55,1.26,1.84,1.99,3.38,
2100,2_EB_28,119,119,119,215,45.26518438,-89.56484119,2,EB,28,EB,28,0,1,0,1,1,2,0,0,7/1/2012,2012,4,0.2,0.1,0.6,6.0,15.7,2.49,2.24,0.96,5.69,,,,,bifurcates at .95 m,,,,221.5,340.8,241.8,272.5,,,,,1,,0,0,11.49,6.95,8.67,10.64,121.02,130.00,126.42,112.54,136.40,141.24,13.89,10.75,8.14,5.61,10.66,6.74,15.75,15.93,14.68,11.30,12.14,11.16,7.09,7.73,8.66,8.20,0.19,5.64,8.69,0.16,0.31,3.51,7.20,0.29,0.65,6.54,4.84,0.12,0.18,4.37,6.38,0.23,1157.20,619.28,436.75,30.87,89556.38,,48.90,,,2.04,2.20,,1.94,,,25.65,23.14,,25.46,,,NA,1.08,0.83,NA,84.03,215.27,6.50,2.63,1.49,2.40,7.99,5.03,
191,1_G_23,120,120,120,336,45.26499237,-89.56484119,1,G,23,G,23,7,1,0,1,1,2,0,0,9/9/2010,2010,6,0.6,12.0,33.6,64.8,107.3,1.03,0.66,0.50,2.19,,,,grey fungus lower,,,,,209.0,340.8,239.5,252.7,,M,M,,0,0,0,1,13.22,12.17,16.51,16.88,127.81,133.65,140.97,137.40,157.36,161.88,8.91,20.48,6.09,5.91,4.98,2.83,15.31,4.95,13.76,11.05,12.16,8.66,7.49,3.62,7.82,1.33,0.17,5.51,7.93,0.15,0.37,4.39,5.96,0.32,0.47,6.98,4.59,0.12,0.26,3.87,4.28,0.25,1171.74,1212.69,268.17,43.07,176114.34,,46.82,,,1.86,2.04,,1.88,,,26.60,24.86,,25.08,,,1.33,1.00,1.25,1,147.63,360.92,8.80,3.31,1.46,2.79,10.26,6.10,
101,1_D_17,121,121,121,301,45.26477652,-89.56484119,1,D,17,D,17,4,1,0,1,1,2,0,0,9/9/2010,2010,6,0.4,6.5,21.2,37.9,61.3,1.18,0.58,0.48,2.24,,,,,,,x,,230.7,364.5,246.3,277.6,M,M,M,,1,1,8,8,11.83,9.53,12.87,12.49,124.93,135.67,157.17,135.45,183.27,151.79,16.39,15.18,13.7,8.72,7.30,7.63,8.26,10.81,9.47,6.70,6.28,4.91,4.56,5.97,3.70,4.84,0.18,4.34,4.88,0.07,0.26,2.40,3.85,0.19,0.28,4.10,1.86,0.04,0.22,2.28,2.29,0.12,999.86,3780.50,498.31,89.75,66965.77,,49.30,,,2.22,2.16,,2.18,,,23.02,23.49,,22.68,,,0.83,0.67,0.92,1,115.48,191.47,5.53,1.54,1.34,3.31,6.87,4.84,
